,timestamp,cpu_utilization_24ae8d,cpu_utilization_53ea38,cpu_utilization_5f5533,cpu_utilization_77c1ca,cpu_utilization_825cc2,cpu_utilization_ac20cd,cpu_utilization_c6585a,cpu_utilization_fe7f93,disk_write_bytes_1ef3de,disk_write_bytes_c0d644,ec2_network_in_257a54,ec2_network_in_5abac7,elb_request_count_8c0756,grok_asg_anomaly,iio_us-east-1_i-a2eb1cd9_NetworkIn,rds_cpu_utilization_cc0c53,rds_cpu_utilization_e47b3b,anomaly_pred,anomaly
32468,2013-10-09 16:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9926554.0,0.0,0.0,0,0
32469,2013-10-09 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50745578.0,0.0,0.0,0,1
32470,2013-10-09 16:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61519397.0,0.0,0.0,0,1
32471,2013-10-09 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55996401.0,0.0,0.0,0,0
32472,2013-10-09 16:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40876988.0,0.0,0.0,0,0
32473,2013-10-09 16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27578939.0,0.0,0.0,0,1
32474,2013-10-09 16:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21556437.0,0.0,0.0,0,1
32475,2013-10-09 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17440444.6,0.0,0.0,0,0
32476,2013-10-09 17:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15573374.0,0.0,0.0,0,0
32477,2013-10-09 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16861197.6,0.0,0.0,0,0
32478,2013-10-09 17:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15478144.6,0.0,0.0,0,1
32479,2013-10-09 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13678676.6,0.0,0.0,0,0
32480,2013-10-09 17:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11499313.8,0.0,0.0,0,0
32481,2013-10-09 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12124202.8,0.0,0.0,0,1
32482,2013-10-09 17:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9052782.8,0.0,0.0,0,1
32483,2013-10-09 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8203117.2,0.0,0.0,0,1
32484,2013-10-09 17:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8309003.0,0.0,0.0,0,1
32485,2013-10-09 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7288143.8,0.0,0.0,0,1
32486,2013-10-09 17:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8049176.2,0.0,0.0,0,1
32487,2013-10-09 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7444835.6,0.0,0.0,0,1
32488,2013-10-09 18:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6954155.4,0.0,0.0,0,0
32489,2013-10-09 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7231045.0,0.0,0.0,0,1
32490,2013-10-09 18:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8040165.8,0.0,0.0,0,1
32491,2013-10-09 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8041010.6,0.0,0.0,0,1
32492,2013-10-09 18:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8631127.0,0.0,0.0,0,1
32493,2013-10-09 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10871151.8,0.0,0.0,0,1
32494,2013-10-09 18:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12124409.6,0.0,0.0,0,0
32495,2013-10-09 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13318374.8,0.0,0.0,0,1
32496,2013-10-09 18:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13666994.4,0.0,0.0,0,0
32497,2013-10-09 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14298954.0,0.0,0.0,0,1
32498,2013-10-09 18:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12679300.0,0.0,0.0,0,1
32499,2013-10-09 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13892004.8,0.0,0.0,0,1
32500,2013-10-09 19:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14145179.8,0.0,0.0,0,0
32501,2013-10-09 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13505345.2,0.0,0.0,0,1
32502,2013-10-09 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12603028.8,0.0,0.0,0,0
32503,2013-10-09 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12435453.8,0.0,0.0,0,0
32504,2013-10-09 19:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12193640.4,0.0,0.0,0,0
